City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
583,Dzerzhinsk,RU,56.2389,43.4631,29.82,86,90,6.71,light snow
584,Natitingou,BJ,10.3042,1.3796,73.92,22,0,4.27,clear sky
585,Ballina,AU,-28.8667,153.5667,77.04,83,75,11.5,light rain
586,Superior,US,46.7208,-92.1041,22.89,63,1,12.66,clear sky
587,Malatya,TR,38.5,38.0,28.45,93,0,6.91,clear sky
588,Miraflores,MX,19.2167,-98.8083,63.25,67,84,2.24,broken clouds
589,Qasigiannguit,GL,68.8193,-51.1922,25.05,95,100,6.69,light snow
590,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,71.6,44,97,6.96,overcast clouds
591,Batticaloa,LK,7.7102,81.6924,75.36,83,100,6.22,overcast clouds
592,Mitu,CO,1.1983,-70.1733,71.08,98,60,1.43,broken clouds
593,Beckley,US,37.7782,-81.1882,49.68,87,90,1.01,light rain
594,Mezhdurechenskiy,RU,59.6,65.9333,24.03,96,100,6.93,light snow
595,Tete,MZ,-16.1564,33.5867,78.26,70,18,10.04,few clouds
596,Bochnia,PL,49.9691,20.4303,45.37,86,100,4.36,overcast clouds
597,Turukhansk,RU,65.8167,87.9833,-1.7,89,100,18.63,overcast clouds
598,Ekibastuz,KZ,51.6667,75.3667,34.3,67,100,24.09,overcast clouds
599,Jutai,BR,-5.1833,-68.9,73.62,97,96,0.45,overcast clouds
600,Karachi,PK,24.9056,67.0822,66.02,24,16,5.75,smoke
601,Bosaso,SO,11.2842,49.1816,74.25,79,100,2.64,overcast clouds
602,Puerto El Triunfo,SV,13.2833,-88.55,85.12,78,15,6.15,few clouds
603,Bubaque,GW,11.2833,-15.8333,82.63,76,53,9.91,broken clouds
604,Timra,SE,62.487,17.3257,25.68,77,79,0.0,broken clouds
605,Muros,ES,42.7762,-9.0603,52.23,86,55,17.05,broken clouds
606,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.48,78,12,9.13,few clouds
607,Nacala,MZ,-14.5428,40.6728,74.34,88,11,2.04,few clouds
608,Khuzdar,PK,27.7384,66.6434,50.67,23,0,6.26,clear sky
