City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Dergachi,RU,2021-11-21 01:05:30,51.2328,48.7659,35.6,92,100,19.86
244,Alice,US,2021-11-21 01:05:30,27.7523,-98.0697,74.64,76,90,10.36
245,Chapais,CA,2021-11-21 01:05:30,49.7834,-74.8492,29.98,96,100,12.53
246,Koygorodok,RU,2021-11-21 01:05:31,60.445,50.9968,26.78,96,100,6.6
247,Hofn,IS,2021-11-21 01:05:31,64.2539,-15.2082,33.73,50,100,7.54
248,Aripuana,BR,2021-11-21 01:05:31,-9.1667,-60.6333,74.12,88,69,1.61
249,Sumbe,AO,2021-11-21 01:04:16,-11.2061,13.8437,76.42,89,100,5.08
250,Chingirlau,KZ,2021-11-21 01:05:32,51.095,54.0814,35.1,97,100,26.49
251,Shache,CN,2021-11-21 01:05:32,38.4167,77.2406,27.48,46,0,2.08
252,Neuquen,AR,2021-11-21 01:05:32,-38.9516,-68.0591,82.29,24,0,10.36
253,Bangassou,CF,2021-11-21 01:05:32,4.7413,22.8184,70.07,86,100,1.52
254,Mogadishu,SO,2021-11-21 01:05:33,2.0371,45.3438,78.51,78,21,11.27
255,Bathsheba,BB,2021-11-21 01:05:33,13.2167,-59.5167,79.41,78,40,14.97
256,Kholm,RU,2021-11-21 01:05:33,59.2667,32.85,32.47,97,100,9.78
257,Baghdad,IQ,2021-11-21 01:03:56,33.3406,44.4009,58.91,72,40,9.22
258,Kozhevnikovo,RU,2021-11-21 01:05:34,56.2589,83.9714,19.26,82,100,11.9
259,Pemba,MZ,2021-11-21 01:05:34,-12.974,40.5178,78.55,79,16,7.76
260,Rafai,CF,2021-11-21 01:05:34,4.95,23.9167,69.46,84,100,1.21
261,Jodhpur,IN,2021-11-21 01:05:34,26.2867,73.03,67.82,86,0,8.84
262,Bela,IN,2021-11-21 01:05:35,25.9333,81.9833,64.35,62,0,6.24
263,Amudat,UG,2021-11-21 01:05:35,1.95,34.95,71.13,54,9,3.4
264,Maihar,IN,2021-11-21 01:05:35,24.2667,80.75,65.62,49,24,3.4
265,Viedma,AR,2021-11-21 01:05:36,-40.8135,-62.9967,72.77,26,100,3.18
266,Krasnoselkup,RU,2021-11-21 01:05:36,65.7,82.4667,-1.93,94,100,20.29
267,Guanaja,HN,2021-11-21 01:05:36,16.4,-85.9,77.0,72,100,6.96
268,Chirnogi,RO,2021-11-21 01:05:36,44.1167,26.5667,45.91,90,6,6.11
269,Storsteinnes,NO,2021-11-21 01:05:37,69.2408,19.2344,28.4,97,100,4.61
270,Ormara,PK,2021-11-21 01:05:37,25.2088,64.6357,74.25,31,0,7.56
271,Muscatine,US,2021-11-21 01:05:37,41.4667,-91.1335,49.37,50,75,0.0
272,Mutis,CO,2021-11-21 01:05:37,6.2262,-77.4044,76.33,90,98,5.17
273,Mbaiki,CF,2021-11-21 01:05:38,3.8678,17.9892,71.51,82,49,2.06
274,Castrop-Rauxel,DE,2021-11-21 01:05:38,51.55,7.3167,47.41,85,100,1.01
275,Gweta,BW,2021-11-21 01:06:38,-20.1833,25.2333,73.6,67,92,9.31
276,Coquimbo,CL,2021-11-21 01:06:39,-29.9533,-71.3436,56.93,88,75,8.05
277,Corum,TR,2021-11-21 01:06:39,40.5,34.75,34.18,84,13,1.99
278,Matara,LK,2021-11-21 01:06:39,5.9485,80.5353,74.66,85,95,8.88
279,Koshurnikovo,RU,2021-11-21 01:06:39,54.1667,93.3,8.62,97,100,2.77
280,Husavik,IS,2021-11-21 01:04:20,66.0449,-17.3389,23.04,80,100,12.21
281,Mubende,UG,2021-11-21 01:06:40,0.5606,31.39,59.52,97,98,0.65
282,Huarmey,PE,2021-11-21 01:06:40,-10.0681,-78.1522,64.9,87,63,8.86
283,Comodoro Rivadavia,AR,2021-11-21 01:06:40,-45.8667,-67.5,64.26,59,100,6.91
284,Oriximina,BR,2021-11-21 01:06:41,-1.7656,-55.8661,74.57,94,100,2.73
285,Touros,BR,2021-11-21 01:06:41,-5.1989,-35.4608,77.9,76,100,13.76
286,Peterhead,GB,2021-11-21 01:06:41,57.5058,-1.7981,43.12,62,100,28.88
